ibrahim_Selection,ibrahim_Cutflow,ahmetcan_Selection,ahmetcan_Cutflow
all Events,24816.0 ±157.53,all Events,24816.0 ±157.53
evtweigt 0.4061,10077.777721881866 ±63.97,eventweight 0.807,20026.511538505554 ±127.13
Size(goodJets) >= 2,9309.842612594366 ±61.49,Size(signaljet) >= 2,18500.474573671818 ±122.19
Size(goodEles) >= 0,9309.842612594366 ±61.49,Size(signalele) >= 0,18500.474573671818 ±122.19
Size(goodMuos) >= 0,9309.842612594366 ±61.49,Size(signalmuo) >= 0,18500.474573671818 ±122.19
Size(goodLepts) == 1,1593.9425192773342 ±25.44,Size(signallep) == 1,3167.474927008152 ±50.56
Pt(goodLepts) descend,1593.9425192773342 ±25.44,Pt(signallep) descend,3167.474927008152 ±50.56
MTL > 50,992.5084120035172 ±20.08,MTl > 50,1972.3079545497894 ±39.90
MET > 250,312.2909037768841 ±11.26,MET > 240,660.125984787941 ±23.08
Pt(goodLepts) < 25,140.10450169444084 ±7.54,Pt(signallep[0]) < 25,301.01099306344986 ±15.59
MET > 400,58.07230070233345 ±4.86,MET > 400,115.40099734067917 ±9.65
Size(bjet) > 0,57.260100692510605 ±4.82,Size(signalbjet) > 0,16.139999628067017 ±3.61
ratio > 0.25,57.260100692510605 ±4.82,MET/meff > 0.25,16.139999628067017 ±3.61
MTL > 100,39.391700476408005 ±4.00,Size(signaljet) / Pt(signallep[0]) > 0.1,16.139999628067017 ±3.61
,,MTl > 100,10.49099975824356 ±2.91
