ibrahim_Selection,ibrahim_Cutflow,ahmetcan_Selection,ahmetcan_Cutflow
all Events,33354.0 ±182.63,all Events,33354.0 ±182.63
evtweigt 500/33354,500.00000781565905 ±2.74,ALL,33354.0 ±182.63
Size(goodJets) >= 2,499.8501007556915 ±2.74,eventweight 500/16686,999.4606319144368 ±5.47
Size(goodLepts) == 1,138.37920705601573 ±1.44,Size(signaljet) >= 2,999.1609795093536 ±5.47
Pt(goodLepts) descend,138.37920705601573 ±1.44,Size(signalele) >= 0,999.1609795093536 ±5.47
MTL > 50,116.80758112668991 ±1.32,Size(signalmuo) >= 0,999.1609795093536 ±5.47
MET > 250,101.29220042005181 ±1.23,Size(signallep) == 1,276.609135132283 ±2.88
Pt(goodLepts) > 25,95.2659366093576 ±1.20,Pt(signallep) descend,276.609135132283 ±2.88
Size(goodJets) [] 4 6,62.04653212055564 ±0.96,MTl > 50,233.48915404081345 ±2.65
Size(bjet) > 0,61.89662506058812 ±0.96,MET > 240,204.75248839333653 ±2.48
MET > 300,58.08898573741317 ±0.93,Pt(signallep[0]) > 25,192.70646170899272 ±2.40
ratio > 0.2,43.697907980531454 ±0.81,Size(signaljet) >= 4 && Size(signaljet) < 6,87.8281199298799 ±1.62
fAplanarity(goodJets) > 0.01,31.255622003227472 ±0.68,Size(signalbjet) > 0,12.795157697051764 ±0.62
Meff > 1000,31.22564059123397 ±0.68,MET > 300,11.83627000078559 ±0.60
MTL [] 150 520,15.905139062553644 ±0.49,MET/meff > 0.2,8.240441139787436 ±0.50
,,fAplanarity(signaljet) > 0.01,5.333812810480595 ±0.40
,,meff > 1000,5.333812810480595 ±0.40
,,MTl [] 150 520,2.756802126765251 ±0.29
