ibeuler_Selection,ibeuler_Cutflow,ahmetcan_Selection,ahmetcan_Cutflow
all Events,33354.0 ±182.63,all Events,33354.0 ±182.63
evtweigt 500/33354,500.00000781565905 ±2.74,ALL,33354.0 ±182.63
Size(goodJets) >= 2,499.8501007556915 ±2.74,eventweight 500/33354,500.00000781565905 ±2.74
Size(goodLepts) == 1,138.37920705601573 ±1.44,Size(signaljet) >= 2,499.8501007556915 ±2.74
Pt(goodLepts) descend,138.37920705601573 ±1.44,Size(signalele) >= 0,499.8501007556915 ±2.74
MTL > 50,116.80758112668991 ±1.32,Size(signalmuo) >= 0,499.8501007556915 ±2.74
MET > 250,101.29220042005181 ±1.23,Size(signallep) == 1,138.37920705601573 ±1.44
Pt(goodLepts) > 25,95.2659366093576 ±1.20,Pt(signallep) descend,138.37920705601573 ±1.44
Size(goodJets) [] 4 6,62.04653212055564 ±0.96,MTl > 50,116.80758112668991 ±1.32
Size(bjet) > 0,9.848893839865923 ±0.38,MET > 240,102.43149407580495 ±1.24
MET > 300,9.144330658018589 ±0.37,Pt(signallep[0]) > 25,96.40523026511073 ±1.20
ratio > 0.2,7.075613230466843 ±0.33,Size(signaljet) >= 4 && Size(signaljet) < 6,43.93775927647948 ±0.81
AnaAplanarity > 0.01,5.126821450889111 ±0.28,Size(signalbjet) > 0,6.401031460613012 ±0.31
Meff > 1000,5.126821450889111 ±0.28,MET > 300,5.921328868716955 ±0.30
MTL [] 150 520,2.653354961425066 ±0.20,MET/meff > 0.2,4.122444149106741 ±0.25
,,AnaAplanarity > 0.01,2.668345667421818 ±0.20
,,meff > 1000,2.668345667421818 ±0.20
,,MTl [] 150 520,1.3791449517011642 ±0.14
