selection,ahmetcan_value,ahmetcan_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,24816.0,157.53,24816.0,157.53,0.0,0.0,0.0,False,False
evtweigt 0.4061,10080.000143051147,63.99,10080.0,100.4,0.0001430511474609375,1.2015217829888067e-06,1.419158198867822e-06,False,False
Size(goodJets) >= 2,9311.895683407784,61.5,9530.0,97.62,-218.1043165922165,-1.8903577529587186,2.315099502268019,False,False
Size(goodEles) >= 0,9311.895683407784,61.5,9530.0,97.62,-218.1043165922165,-1.8903577529587186,2.315099502268019,False,False
Size(goodMuos) >= 0,9311.895683407784,61.5,9530.0,97.62,-218.1043165922165,-1.8903577529587186,2.315099502268019,False,False
Size(goodLepts) == 1,1594.2940264940262,25.45,7130.0,84.44,-5535.705973505974,-62.768851094948815,126.90324183699185,False,False
Pt(goodLepts) descend,1594.2940264940262,25.45,7130.0,84.44,-5535.705973505974,-62.768851094948815,126.90324183699185,False,False
MTL > 50,992.7272868156433,20.08,4460.0,66.78,-3467.2727131843567,-49.72169475576453,127.17572439641378,False,True
MET > 250,332.26306080818176,11.62,2160.0,46.48,-1827.7369391918182,-38.148994918148176,146.67287478065228,False,False
Pt(goodLepts) < 25,151.50870621204376,7.84,1150.0,33.91,-998.4912937879562,-28.688563147421508,153.43597611329088,False,False
MET > 400,58.08510720729828,4.86,492.0,22.18,-433.9148927927017,-19.1099651261669,157.76282146434548,True,True
Size(bjet) > 0,8.123791217803955,1.82,89.0,9.43,-80.87620878219604,-8.421074197172294,166.54252839209693,False,False
ratio > 0.25,8.123791217803955,1.82,89.0,9.43,-80.87620878219604,-8.421074197172294,166.54252839209693,False,False
Size(goodJets) / Pt(goodLepts[0]) > 0.1,8.123791217803955,1.82,85.0,9.22,-76.87620878219604,-8.180134800599117,165.10541028638534,False,False
MTL > 100,5.280464291572571,1.46,58.0,7.62,-52.71953570842743,-6.794973386385341,166.62183597615734,False,True
,,,,,,,,True,True
