selection,ibrahim_value,ibrahim_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,24816.0,157.53,24816.0,157.53,0.0,0.0,0.0,True,True
evtweigt 0.4061,10077.777721881866,63.97,10080.0,100.4,-2.222278118133545,-0.01866714587400216,0.02204884039098413,True,True
Size(goodJets) >= 2,9309.842612594366,61.49,9530.0,97.62,-220.15738740563393,-1.908240320230109,2.337146779118627,True,True
Size(goodEles) >= 0,9309.842612594366,61.49,9530.0,97.62,-220.15738740563393,-1.908240320230109,2.337146779118627,True,True
Size(goodMuos) >= 0,9309.842612594366,61.49,9530.0,97.62,-220.15738740563393,-1.908240320230109,2.337146779118627,True,True
Size(goodLepts) == 1,1593.9425192773342,25.44,7130.0,84.44,-5536.057480722666,-62.77489050634527,126.91641350202882,True,True
Pt(goodLepts) descend,1593.9425192773342,25.44,7130.0,84.44,-5536.057480722666,-62.77489050634527,126.91641350202882,True,True
MTL > 50,992.5084120035172,20.08,4460.0,66.78,-3467.491587996483,-49.724833483951926,127.18885789751062,True,True
MET > 250,312.2909037768841,11.26,2160.0,46.48,-1847.709096223116,-38.63523999573521,149.47343723996207,True,True
Pt(goodLepts) < 25,140.10450169444084,7.54,1150.0,33.91,-1009.8954983055592,-29.071646957973623,156.5602626731631,True,True
MET > 400,58.07230070233345,4.86,492.0,22.18,-433.92769929766655,-19.110529135071253,157.77115071732453,True,True
Size(bjet) > 0,8.122000098228455,1.82,89.0,9.43,-80.87799990177155,-8.42126069393158,166.54928815298726,True,True
ratio > 0.25,8.122000098228455,1.82,89.0,9.43,-80.87799990177155,-8.42126069393158,166.54928815298726,True,True
Size(goodJets) / Pt(goodLepts[0]) > 0.1,8.122000098228455,1.82,85.0,9.22,-76.87799990177155,-8.180325387515454,165.11243276707512,True,True
MTL > 100,5.2793000638484955,1.46,58.0,7.62,-52.720699936151505,-6.795123442646165,166.62858117253694,True,True
,,,,,,,,True,True
