selection,ibrahim_value,ibrahim_err,ahmetcan_value,ahmetcan_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,24816.0,157.53,24816.0,157.53,0.0,0.0,0.0,False,False
evtweigt 0.4061,10077.777721881866,63.97,10080.000143051147,63.99,-2.222421169281006,-0.024562192251577436,0.02205025954916575,False,False
Size(goodJets) >= 2,9309.842612594366,61.49,9311.895683407784,61.5,-2.0530708134174347,-0.023607452469712926,0.02205025954916575,False,False
Size(goodEles) >= 0,9309.842612594366,61.49,9311.895683407784,61.5,-2.0530708134174347,-0.023607452469712926,0.02205025954916575,False,False
Size(goodMuos) >= 0,9309.842612594366,61.49,9311.895683407784,61.5,-2.0530708134174347,-0.023607452469712926,0.02205025954916575,False,False
Size(goodLepts) == 1,1593.9425192773342,25.44,1594.2940264940262,25.45,-0.3515072166919708,-0.009768250413055358,0.02205025954916575,False,False
Pt(goodLepts) descend,1593.9425192773342,25.44,1594.2940264940262,25.45,-0.3515072166919708,-0.009768250413055358,0.02205025954916575,False,False
MTL > 50,992.5084120035172,20.08,992.7272868156433,20.08,-0.21887481212615967,-0.007707562942496967,0.02205025954916575,False,True
MET > 250,312.2909037768841,11.26,332.26306080818176,11.62,-19.972157031297684,-1.2343269116638358,6.197202446549169,False,False
Pt(goodLepts) < 25,140.10450169444084,7.54,151.50870621204376,7.84,-11.40420451760292,-1.048433901116076,7.821459528170655,False,False
MET > 400,58.07230070233345,4.86,58.08510720729828,4.86,-0.012806504964828491,-0.001863285288874365,0.02205025954916575,True,True
Size(bjet) == 0,49.950300604104996,4.5,49.961315989494324,4.5,-0.011015385389328003,-0.0017309008235948998,0.02205025954916575,False,False
ratio > 0.25,49.950300604104996,4.5,49.961315989494324,4.5,-0.011015385389328003,-0.0017309008235948998,0.02205025954916575,False,False
Size(goodJets) / Pt(goodLepts[0]) > 0.1,49.54420059919357,4.49,49.555126428604126,4.49,-0.010925829410552979,-0.0017206521305767105,0.02205025954916575,False,False
MTL > 100,34.51850041747093,3.74,34.52611267566681,3.74,-0.007612258195877075,-0.0014392190883549608,0.02205025954916575,False,True
,,,,,,,,True,True
