selection,ibrahim_value,ibrahim_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,24816.0,157.53,24816.0,157.53,0.0,0.0,0.0,True,True
evtweigt 0.4061,10077.777721881866,63.97,10080.0,100.4,-2.222278118133545,-0.01866714587400216,0.02204884039098413,True,True
Size(goodJets) >= 2,9309.842612594366,61.49,9530.0,97.62,-220.15738740563393,-1.908240320230109,2.337146779118627,True,True
Size(goodEles) >= 0,9309.842612594366,61.49,9530.0,97.62,-220.15738740563393,-1.908240320230109,2.337146779118627,True,True
Size(goodMuos) >= 0,9309.842612594366,61.49,9530.0,97.62,-220.15738740563393,-1.908240320230109,2.337146779118627,True,True
Size(goodLepts) == 1,1593.9425192773342,25.44,7130.0,84.44,-5536.057480722666,-62.77489050634527,126.91641350202882,True,True
Pt(goodLepts) descend,1593.9425192773342,25.44,7130.0,84.44,-5536.057480722666,-62.77489050634527,126.91641350202882,True,True
MTL > 50,992.5084120035172,20.08,4460.0,66.78,-3467.491587996483,-49.724833483951926,127.18885789751062,True,True
MET > 250,312.2909037768841,11.26,2160.0,46.48,-1847.709096223116,-38.63523999573521,149.47343723996207,True,True
Pt(goodLepts) < 25,140.10450169444084,7.54,1150.0,33.91,-1009.8954983055592,-29.071646957973623,156.5602626731631,True,True
MET > 400,58.07230070233345,4.86,492.0,22.18,-433.92769929766655,-19.110529135071253,157.77115071732453,True,True
Size(bjet) == 0,49.950300604104996,4.5,402.0,20.05,-352.049699395895,-17.132386488184196,155.7913332175345,True,True
ratio > 0.25,49.950300604104996,4.5,402.0,20.05,-352.049699395895,-17.132386488184196,155.7913332175345,True,True
Size(goodJets) / Pt(goodLepts[0]) > 0.1,49.54420059919357,4.49,402.0,20.05,-352.4557994008064,-17.15397540308106,156.11131709059796,True,True
MTL > 100,34.51850041747093,3.74,251.0,15.84,-216.48149958252907,-13.301033361653344,151.64096145503748,True,True
,,,,,,,,True,True
