selection,ahmetcan_value,ahmetcan_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,33354.0,182.63,33354.0,182.63,0.0,0.0,0.0,False,False
evtweigt 500/33354,500.00000781565905,2.74,500.0,22.36,7.815659046173096e-06,3.4694236752377295e-07,1.563131797017714e-06,False,False
Size(goodJets) >= 2,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,False,False
Size(goodEles) >= 0,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,False,False
Size(goodMuos) >= 0,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,False,False
Size(goodLepts) == 1,138.37920705601573,1.44,388.0,19.7,-249.62079294398427,-12.637389859252712,94.8444731850589,False,False
Pt(goodLepts) descend,138.37920705601573,1.44,388.0,19.7,-249.62079294398427,-12.637389859252712,94.8444731850589,False,False
MTL > 50,116.80758112668991,1.32,306.0,17.49,-189.1924188733101,-10.786500398429913,89.49339005187825,False,True
MET > 250,102.43149407580495,1.24,234.0,15.3,-131.56850592419505,-8.571145411129512,78.21414358701504,False,False
Pt(goodLepts) > 25,96.40523026511073,1.2,215.0,14.66,-118.59476973488927,-8.062717918340473,76.16748738222873,False,False
Size(goodJets) >= 4 && Size(goodJets) < 6,43.93775927647948,0.81,35.5,5.96,8.437759276479483,1.4028351995700776,21.243699100605916,False,False
Size(bjet) == 0,37.53672781586647,0.75,26.399999618530273,5.14,11.136728197336197,2.1439751467615173,34.83671637327139,False,False
MET > 300,35.15320556238294,0.73,23.600000381469727,4.86,11.55320518091321,2.350831172638175,39.32791409528868,True,True
ratio > 0.2,24.030101712793112,0.6,13.800000190734863,3.71,10.230101522058249,2.722071645468293,54.08445130888852,False,False
AnaAplanarity > 0.01,15.920129768550396,0.49,12.5,3.54,3.420129768550396,0.9570138661280548,24.068361379089115,True,True
Meff > 1000,15.905139062553644,0.49,12.5,3.54,3.405139062553644,0.9528191967813355,23.97551411422324,False,True
MTL > 520,1.9038196615874767,0.17,6.900000095367432,2.63,-4.996180433779955,-1.8957321581991493,113.50028900428214,False,True
,,,,,,,,True,True
