selection,ahmetcan_value,ahmetcan_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,33354.0,182.63,33354.0,182.63,0.0,0.0,0.0,False,False
ALL,33354.0,182.63,33354.0,182.63,0.0,0.0,0.0,True,True
evtweigt 500/33354,500.00000781565905,2.74,500.0,22.36,7.815659046173096e-06,3.4694236752377295e-07,1.563131797017714e-06,False,False
Size(goodJets) >= 2,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,False,False
Size(goodEles) >= 0,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,False,False
Size(goodMuos) >= 0,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,False,False
Size(goodLepts) == 1,138.37920705601573,1.44,388.0,19.7,-249.62079294398427,-12.637389859252712,94.8444731850589,False,False
Pt(goodLepts) descend,138.37920705601573,1.44,388.0,19.7,-249.62079294398427,-12.637389859252712,94.8444731850589,False,False
MTL > 50,116.80758112668991,1.32,306.0,17.49,-189.1924188733101,-10.786500398429913,89.49339005187825,False,True
MET > 250,102.43149407580495,1.24,234.0,15.3,-131.56850592419505,-8.571145411129512,78.21414358701504,False,False
Pt(goodLepts) > 25,96.40523026511073,1.2,215.0,14.66,-118.59476973488927,-8.062717918340473,76.16748738222873,False,False
Size(goodJets) >= 4 && Size(goodJets) < 6,43.93775927647948,0.81,35.5,5.96,8.437759276479483,1.4028351995700776,21.243699100605916,False,False
Size(bjet) > 0,6.401031460613012,0.31,9.199999809265137,3.03,-2.7989683486521244,-0.918954923851178,35.88183755590903,False,False
MET > 300,5.921328868716955,0.3,8.199999809265137,2.86,-2.2786709405481815,-0.7923906863526728,32.27275552478393,True,True
ratio > 0.2,4.122444149106741,0.25,4.800000190734863,2.19,-0.6775560416281223,-0.30738993933574776,15.187677632296682,False,False
AnaAplanarity > 0.01,2.668345667421818,0.2,4.5,2.12,-1.8316543325781822,-0.8601686365906978,51.10396226852043,True,True
Meff > 1000,2.668345667421818,0.2,4.5,2.12,-1.8316543325781822,-0.8601686365906978,51.10396226852043,False,True
MTL [] 150 520,1.3791449517011642,0.14,2.5999999046325684,1.61,-1.2208549529314041,-0.7554442586397483,61.36267952085886,False,True
,,,,,,,,True,True
