selection,ibrahim_value,ibrahim_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,33354.0,182.63,33354.0,182.63,0.0,0.0,0.0,True,True
evtweigt 500/33354,500.00000781565905,2.74,500.0,22.36,7.815659046173096e-06,3.4694236752377295e-07,1.563131797017714e-06,True,True
Size(goodJets) >= 2,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,True,True
Size(goodEles) >= 0,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,True,True
Size(goodMuos) >= 0,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,True,True
Size(goodLepts) == 1,138.37920705601573,1.44,388.0,19.7,-249.62079294398427,-12.637389859252712,94.8444731850589,True,True
Pt(goodLepts) descend,138.37920705601573,1.44,388.0,19.7,-249.62079294398427,-12.637389859252712,94.8444731850589,True,True
MTL > 50,116.80758112668991,1.32,306.0,17.49,-189.1924188733101,-10.786500398429913,89.49339005187825,True,True
MET > 250,101.29220042005181,1.23,234.0,15.3,-132.7077995799482,-8.645818859994817,79.159490983502,True,True
Pt(goodLepts) > 25,95.2659366093576,1.2,215.0,14.66,-119.7340633906424,-8.140173301853816,77.18157184711797,True,True
Size(goodJets) >= 4 && Size(goodJets) < 6,43.47304739058018,0.81,35.5,5.96,7.973047390580177,1.3255736696025933,20.191818991478335,True,True
Size(bjet) == 0,37.13197875395417,0.75,26.399999618530273,5.14,10.731979135423899,2.066055320216539,33.78449533714472,True,True
MET > 300,35.15320556238294,0.73,23.600000381469727,4.86,11.55320518091321,2.350831172638175,39.32791409528868,True,True
ratio > 0.2,26.833363734185696,0.63,13.800000190734863,3.71,13.033363543450832,3.4634549891014754,64.15104379510865,True,True
AnaAplanarity > 0.01,17.97385649010539,0.52,12.5,3.54,5.4738564901053905,1.5298698849529229,35.92493448856863,True,True
Meff > 1000,17.943875078111887,0.52,12.5,3.54,5.443875078111887,1.5214904801584899,35.76335183444402,True,True
MTL [] 150 520,9.144330658018589,0.37,6.900000095367432,2.63,2.2443305626511574,0.8450360811241856,27.976617998572614,True,True
,,,,,,,,True,True
