selection,ibrahim_value,ibrahim_err,ahmetcan_value,ahmetcan_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,30469.0,174.55,30469.0,174.55,0.0,0.0,0.0,False,False
evtweigt 386/30469,386.00000836793333,2.21,386.00000836793333,2.21,0.0,0.0,0.0,False,False
Size(goodJets) >= 2,385.83531638234854,2.21,385.83531638234854,2.21,0.0,0.0,0.0,False,False
Size(goodEles) >= 0,385.83531638234854,2.21,385.83531638234854,2.21,0.0,0.0,0.0,False,False
Size(goodMuos) >= 0,385.83531638234854,2.21,385.83531638234854,2.21,0.0,0.0,0.0,False,False
Size(goodLepts) == 1,104.37671301793307,1.15,104.37671301793307,1.15,0.0,0.0,0.0,False,False
Pt(goodLepts) descend,104.37671301793307,1.15,104.37671301793307,1.15,0.0,0.0,0.0,False,False
MTL > 50,93.03830324113369,1.09,93.03830324113369,1.09,0.0,0.0,0.0,False,True
MET > 250,72.47714227158576,0.96,73.94670152757317,0.97,-1.4695592559874058,-1.0768097067829039,2.007267693372556,False,False
Pt(goodLepts) > 25,68.51186600327492,0.93,69.8800763450563,0.94,-1.3682103417813778,-1.0347133452363177,1.9772976931526913,False,False
Size(goodJets) >= 6,26.806787807494402,0.58,27.326200992800295,0.59,-0.5194131853058934,-0.6278071301371204,1.9190264451205241,False,False
Size(bjet) > 0,6.384981594979763,0.28,6.4736618949100375,0.29,-0.08868029993027449,-0.21998874930285992,1.3793103448275863,False,False
AnaAplanarity > 0.01,6.093603466637433,0.28,6.182283766567707,0.28,-0.08868029993027449,-0.22395157656555,1.4447884416924666,True,True
Meff > 700,6.093603466637433,0.28,6.182283766567707,0.28,-0.08868029993027449,-0.22395157656555,1.4447884416924666,False,True
MET > 300,5.485509981401265,0.26,5.485509981401265,0.26,0.0,0.0,0.0,True,True
MTL > 250,3.58521784003824,0.21,3.813252897001803,0.22,-0.22803505696356297,-0.7497746486985843,6.164383561643835,False,False
,,,,,,,,True,True
