selection,ahmetcan_value,ahmetcan_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,30469.0,174.55,30469.0,174.55,0.0,0.0,0.0,False,False
evtweigt 386/30469,386.00000836793333,2.21,386.0,19.65,8.367933332920074e-06,4.231810067880664e-07,2.167858352906115e-06,False,False
Size(goodJets) >= 2,385.83531638234854,2.21,385.0,19.62,0.8353163823485374,0.04230719239990879,0.21673017948082832,False,False
Size(goodEles) >= 0,385.83531638234854,2.21,385.0,19.62,0.8353163823485374,0.04230719239990879,0.21673017948082832,False,False
Size(goodMuos) >= 0,385.83531638234854,2.21,385.0,19.62,0.8353163823485374,0.04230719239990879,0.21673017948082832,False,False
Size(goodLepts) == 1,104.37671301793307,1.15,295.0,17.18,-190.62328698206693,-11.070876048042724,95.46039153940728,False,False
Pt(goodLepts) descend,104.37671301793307,1.15,295.0,17.18,-190.62328698206693,-11.070876048042724,95.46039153940728,False,False
MTL > 50,93.03830324113369,1.09,253.0,15.91,-159.9616967588663,-10.030647978996358,92.45317368661263,False,True
MET > 250,73.94670152757317,0.97,202.3000030517578,14.22,-128.35330152418464,-9.00532475165096,92.9265756995301,False,False
Pt(goodLepts) > 25,69.8800763450563,0.94,190.8000030517578,13.81,-120.91992670670152,-8.735755350795884,92.7726637083258,False,False
Size(goodJets) >= 6,27.326200992800295,0.59,62.099998474121094,7.88,-34.7737974813208,-4.4006008595692725,77.7709389163599,False,False
Size(bjet) == 0,20.852539097890258,0.51,43.900001525878906,6.63,-23.04746242798865,-3.46599936549853,71.18627996977297,False,False
AnaAplanarity > 0.01,19.44632291328162,0.5,42.5,6.52,-23.05367708671838,-3.5254886928809324,74.43113974332623,True,True
Meff > 700,19.44632291328162,0.5,42.5,6.52,-23.05367708671838,-3.5254886928809324,74.43113974332623,False,True
MET > 300,16.887262829579413,0.46,38.400001525878906,6.2,-21.512738696299493,-3.4602857470537947,77.82167899640567,True,True
MTL > 250,11.55377621948719,0.38,27.5,5.24,-15.94622378051281,-3.0352018529777234,81.66290343291263,False,False
,,,,,,,,True,True
