Selection in region 4JHighxBveto,1600_360_60_4j_analysis_V6_Cutflow,1600_360_60_4j_analysis_V6_PAPER_CUTFLOW_Countflow,4JHighxBveto_relative_error_std
evtweigt 500/33354,500.00000781565905 ±2.74,500.0 ±22.36,1.1053010935595395e-08
Size(goodJets) >= 2,499.8501007556915 ±2.74,499.0 ±22.34,0.0012036080460651904
Size(goodLepts) == 1,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082
Pt(goodLepts) descend,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082
MTL > 50,116.80758112668991 ±1.32,306.0 ±17.49,0.6328138297705583
MET > 250,101.29220042005181 ±1.23,234.0 ±15.30,0.5597421286970963
Pt(goodLepts) > 25,95.2659366093576 ±1.20,215.0 ±14.66,0.5457561283573384
Size(goodJets) [] 4 6,62.04653212055564 ±0.96,35.5 ±5.96,0.3848672519948209
Size(bjet) == 0,52.197638280689716 ±0.88,26.399999618530273 ±5.14,0.46417896832989247
MET > 300,49.0945621393621 ±0.86,23.600000381469727 ±4.86,0.4959759541085038
ratio > 0.2,36.727229692041874 ±0.74,13.800000190734863 ±3.71,0.641713368882732
AnaAplanarity > 0.01,26.173772670328617 ±0.63,12.5 ±3.54,0.5000193522371705
Meff > 1000,26.143791258335114 ±0.63,12.5 ±3.54,0.49931008349402545
MTL > 520,3.897583559155464 ±0.24,6.900000095367432 ±2.63,0.3932415178488221
