Selection in region 4JLowxB,ibeuler_selection_Cutflow,ibeuler_selection_PAPER_CUTFLOW_Countflow,4JLowxB_relative_error_std
ALL,33354.0 ±182.63,33354.0 ±182.63,0.0
ALL,33354.0 ±182.63,33354.0 ±182.63,0.0
evtweigt 500/33354,500.00000781565905 ±2.74,500.0 ±22.36,1.1053010935595395e-08
Size(goodJets) >= 2,499.8501007556915 ±2.74,499.0 ±22.34,0.0012036080460651904
Size(goodEles) >= 0,499.8501007556915 ±2.74,499.0 ±22.34,0.0012036080460651904
Size(goodMuos) >= 0,499.8501007556915 ±2.74,499.0 ±22.34,0.0012036080460651904
Size(goodLepts) == 1,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082
Pt(goodLepts) descend,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082
MTL > 50,116.80758112668991 ±1.32,306.0 ±17.49,0.6328138297705583
MET > 250,101.29220042005181 ±1.23,234.0 ±15.30,0.5597421286970963
Pt(goodLepts) > 25,95.2659366093576 ±1.20,215.0 ±14.66,0.5457561283573384
Size(goodJets) >= 4 && Size(goodJets) < 6,43.47304739058018 ±0.81,35.5 ±5.96,0.14277772133365646
Size(bjet) > 0,6.341068636626005 ±0.31,9.199999809265137 ±3.03,0.26015838308121153
MET > 300,5.921328868716955 ±0.30,8.199999809265137 ±2.86,0.22820284279150332
ratio > 0.2,4.722072388976812 ±0.27,4.800000190734863 ±2.19,0.011573799003272725
AnaAplanarity > 0.01,3.1180668473243713 ±0.22,4.5 ±2.12,0.2565412782500448
Meff > 1000,3.1180668473243713 ±0.22,4.5 ±2.12,0.2565412782500448
MTL [] 150 520,1.604005541652441 ±0.16,2.5999999046325684 ±1.61,0.33504921774503216
