Selection in region SR4j1000,CutFlow_Cutflow
all Events,26866.0 ±163.91
ALL,26866.0 ±163.91
evtweigt 26866/3948,182822.17739582062 ±1115.39
MET > 300,86742.88302183151 ±768.30
Size(goodJets) >= 2,86702.05323457718 ±768.12
Pt(goodJets[0]) > 200,77991.69862031937 ±728.51
Meff > 800,76950.53904533386 ±723.63
Size(goodJets) >= 4,70315.69861650467 ±691.73
Pt(goodJets[3]) > 100,26981.684410572052 ±428.50
m4j < 2000,25083.099303245544 ±413.15
Aplanarity > 0.04,17808.592207431793 ±348.12
METsqrtHT > 16,5130.943264961243 ±186.86
Meff > 1000,5124.138300418854 ±186.73
