Selection in region SR6j1000,CutFlow_Cutflow
all Events,26883.0 ±163.96
ALL,26883.0 ±163.96
evtweigt 26883/3948,183053.61567735672 ±1116.45
MET > 300,89167.39565134048 ±779.21
Size(goodJets) >= 2,89160.58638095856 ±779.18
Pt(goodJets[0]) > 200,77251.17248296738 ±725.28
Meff > 800,77012.84801959991 ±724.16
Size(goodJets) >= 6,64967.248713970184 ±665.12
dphi1 > 0.4,64368.032920360565 ±662.04
dphi2 > 0.4,61079.15532588959 ±644.91
dphi3 > 0.4,56612.273955345154 ±620.88
dphi4 > 0.2,54399.26108121872 ±608.62
dphi5 > 0.2,52016.0164475441 ±595.14
dphi6 > 0.2,49707.67378807068 ±581.78
Pt(goodJets[5]) > 75,18528.0247092247 ±355.19
m6j < 2000,15572.80136346817 ±325.64
Aplanarity > 0.08,10173.04995059967 ±263.19
METsqrtHT > 16,2076.8274664878845 ±118.92
Meff > 1000,2076.8274664878845 ±118.92
