Selection in region SR6j2200,CutFlow_Cutflow
all Events,28543.0 ±168.95
ALL,28543.0 ±168.95
evtweigt 28543/140,5819306.039398193 ±34444.62
MET > 300,4296536.9959106445 ±29596.82
Size(goodJets) >= 2,4296536.9959106445 ±29596.82
Pt(goodJets[0]) > 200,4247606.138977051 ±29427.81
Meff > 800,4246790.624694824 ±29424.98
Size(goodJets) >= 6,3653300.1058044434 ±27291.57
dphi1 > 0.4,3603145.9774475098 ±27103.58
dphi2 > 0.4,3412927.271118164 ±26378.45
dphi3 > 0.4,3157671.30078125 ±25372.85
dphi4 > 0.2,3032285.979888916 ±24863.99
dphi5 > 0.2,2901803.694732666 ±24323.15
dphi6 > 0.2,2773564.073852539 ±23779.62
Pt(goodJets[5]) > 75,1468945.1008605957 ±17305.68
m6j < 2000,1060576.3240356445 ±14704.72
Aplanarity > 0.08,782078.1966552734 ±12627.31
METsqrtHT > 16,327225.1057434082 ±8167.88
Meff > 2200,180432.53494262695 ±6065.17
