Selection in region SR2j2200,CutFlow_Cutflow
all Events,24417.0 ±156.26
ALL,24417.0 ±156.26
evtweigt 24417/1902,313454.2061920166 ±2005.99
MET > 300,238675.53759765625 ±1750.43
Size(goodJets) >= 2,237032.33251953125 ±1744.39
Pt(goodJets[0]) > 200,235119.53910827637 ±1737.34
Meff > 800,233450.65895080566 ±1731.16
dphi1 > 0.4,232924.31982421875 ±1729.21
dphi2 > 0.4,224554.24395751953 ±1697.86
Size(goodJets) < 3 || dphi3 > 0.4,208930.95817565918 ±1637.73
Size(goodJets) < 4 || dphi4 > 0.2,204065.53063964844 ±1618.55
Size(goodJets) < 5 || dphi5 > 0.2,200997.3586578369 ±1606.33
Size(goodJets) < 6 || dphi6 > 0.2,199559.55421447754 ±1600.58
Pt(goodJets[0]) > 600,59360.783447265625 ±872.95
METsqrtHT > 16,37100.489654541016 ±690.13
Meff > 2200,11682.161102294922 ±387.26
