ibeuler_Selection,ibeuler_Cutflow,ahmetcan_Selection,ahmetcan_Cutflow
all Events,30469.0 ±174.55,all Events,30469.0 ±174.55
ALL,30469.0 ±174.55,eventweight 386/30469,386.00000836793333 ±2.21
evtweigt 386/30469,386.00000836793333 ±2.21,Size(signaljet) >= 2,385.83531638234854 ±2.21
Size(goodJets) >= 2,385.83531638234854 ±2.21,Size(signalele) >= 0,385.83531638234854 ±2.21
Size(goodEles) >= 0,385.83531638234854 ±2.21,Size(signalmuo) >= 0,385.83531638234854 ±2.21
Size(goodMuos) >= 0,385.83531638234854 ±2.21,Size(signallep) == 1,104.37671301793307 ±1.15
Size(goodLepts) == 1,104.37671301793307 ±1.15,Pt(signallep) descend,104.37671301793307 ±1.15
Pt(goodLepts) descend,104.37671301793307 ±1.15,MTl > 50,93.03830324113369 ±1.09
MTL > 50,93.03830324113369 ±1.09,MET > 240,73.94670152757317 ±0.97
MET > 250,72.47714227158576 ±0.96,Pt(signallep[0]) > 25,69.8800763450563 ±0.94
Pt(goodLepts) > 25,68.51186600327492 ±0.93,Size(signaljet) >= 6,27.326200992800295 ±0.59
Size(goodJets) >= 6,26.806787807494402 ±0.58,Size(signalbjet) == 0,20.852539097890258 ±0.51
Size(bjet) == 0,20.42180621251464 ±0.51,AnaAplanarity > 0.01,19.44632291328162 ±0.50
AnaAplanarity > 0.01,19.05359587073326 ±0.49,meff > 700,19.44632291328162 ±0.50
Meff > 700,19.05359587073326 ±0.49,MET > 300,16.887262829579413 ±0.46
MET > 300,16.887262829579413 ±0.46,MTl > 225,11.55377621948719 ±0.38
MTL > 250,10.818996591493487 ±0.37,,
