ibrahim_Selection,ibrahim_Cutflow,ahmetcan_Selection,ahmetcan_Cutflow
all Events,30469.0 ±174.55,all Events,30469.0 ±174.55
evtweigt 386/30469,386.00000836793333 ±2.21,eventweight 0.00198199,60.38925167126581 ±0.35
Size(goodJets) >= 2,385.83531638234854 ±2.21,Size(signaljet) >= 2,60.363485801965 ±0.35
Size(goodLepts) == 1,104.37671301793307 ±1.15,Size(signalele) >= 0,60.363485801965 ±0.35
Pt(goodLepts) descend,104.37671301793307 ±1.15,Size(signalmuo) >= 0,60.363485801965 ±0.35
MTL > 50,93.03830324113369 ±1.09,Size(signallep) == 1,16.329615166876465 ±0.18
MET > 250,72.47714227158576 ±0.96,Pt(signallep) descend,16.329615166876465 ±0.18
Pt(goodLepts) > 25,68.51186600327492 ±0.93,MTl > 50,14.555734165012836 ±0.17
Size(goodJets) >= 6,26.806787807494402 ±0.58,MET > 240,11.568875316064805 ±0.15
Size(bjet) == 0,0.0 ±0.00,Pt(signallep[0]) > 25,10.932656543329358 ±0.15
fAplanarity(goodJets) > 0.01,0.0 ±0.00,Size(signaljet) >= 6,4.275152313988656 ±0.09
Meff > 700,0.0 ±0.00,Size(signalbjet) == 0,3.2623554514721036 ±0.08
MET > 300,0.0 ±0.00,fAplanarity(signaljet) > 0.01,3.0423545674420893 ±0.08
MTL > 250,0.0 ±0.00,meff > 700,3.0423545674420893 ±0.08
,,MET > 300,2.6419925983063877 ±0.07
,,MTl > 225,1.8075748309493065 ±0.06
