ibeuler_Selection,ibeuler_Cutflow,ahmetcan_Selection,ahmetcan_Cutflow
all Events,33354.0 ±182.63,all Events,33354.0 ±182.63
evtweigt 500/33354,500.00000781565905 ±2.74,eventweight 500/33354,500.00000781565905 ±2.74
Size(goodJets) >= 2,499.8501007556915 ±2.74,Size(signaljet) >= 2,499.8501007556915 ±2.74
Size(goodLepts) == 1,138.37920705601573 ±1.44,Size(signalele) >= 0,499.8501007556915 ±2.74
Pt(goodLepts) descend,138.37920705601573 ±1.44,Size(signalmuo) >= 0,499.8501007556915 ±2.74
MTL > 50,116.80758112668991 ±1.32,Size(signallep) == 1,138.37920705601573 ±1.44
MET > 250,101.29220042005181 ±1.23,Pt(signallep) descend,138.37920705601573 ±1.44
Pt(goodLepts) > 25,95.2659366093576 ±1.20,MTl > 50,116.80758112668991 ±1.32
Size(goodJets) [] 4 6,62.04653212055564 ±0.96,MET > 240,102.43149407580495 ±1.24
Size(bjet) == 0,52.197638280689716 ±0.88,Pt(signallep[0]) > 25,96.40523026511073 ±1.20
MET > 300,49.0945621393621 ±0.86,Size(signaljet) >= 4 && Size(signaljet) < 6,43.93775927647948 ±0.81
ratio > 0.2,36.727229692041874 ±0.74,Size(signalbjet) == 0,37.53672781586647 ±0.75
AnaAplanarity > 0.01,26.173772670328617 ±0.63,MET > 300,35.15320556238294 ±0.73
Meff > 1000,26.143791258335114 ±0.63,MET/meff > 0.2,24.030101712793112 ±0.60
MTL [] 150 520,13.281765513122082 ±0.45,AnaAplanarity > 0.01,15.920129768550396 ±0.49
,,meff > 1000,15.905139062553644 ±0.49
,,MTl > 520,1.9038196615874767 ±0.17
