ibeuler_Selection,ibeuler_Cutflow,ahmetcan_Selection,ahmetcan_Cutflow
all Events,30469.0 ±174.55,all Events,30469.0 ±174.55
evtweigt 386/30469,386.00000836793333 ±2.21,eventweight 386/30469,386.00000836793333 ±2.21
Size(goodJets) >= 2,385.83531638234854 ±2.21,Size(signaljet) >= 2,385.83531638234854 ±2.21
Size(goodLepts) == 1,104.37671301793307 ±1.15,Size(signalele) >= 0,385.83531638234854 ±2.21
Pt(goodLepts) descend,104.37671301793307 ±1.15,Size(signalmuo) >= 0,385.83531638234854 ±2.21
MTL > 50,93.03830324113369 ±1.09,Size(signallep) == 1,104.37671301793307 ±1.15
MET > 250,72.47714227158576 ±0.96,Pt(signallep) descend,104.37671301793307 ±1.15
Pt(goodLepts) > 25,68.51186600327492 ±0.93,MTl > 50,93.03830324113369 ±1.09
Size(goodJets) >= 6,26.806787807494402 ±0.58,MET > 240,73.94670152757317 ±0.97
Size(bjet) > 0,6.384981594979763 ±0.28,Pt(signallep[0]) > 25,69.8800763450563 ±0.94
AnaAplanarity > 0.01,6.093603466637433 ±0.28,Size(signaljet) >= 6,27.326200992800295 ±0.59
Meff > 700,6.093603466637433 ±0.28,Size(signalbjet) > 0,6.4736618949100375 ±0.29
MET > 300,5.485509981401265 ±0.26,AnaAplanarity > 0.01,6.182283766567707 ±0.28
MTL > 250,3.58521784003824 ±0.21,meff > 700,6.182283766567707 ±0.28
,,MET > 300,5.485509981401265 ±0.26
,,MTl > 225,3.813252897001803 ±0.22
