Selection in region 2JB,analysis_V6_Cutflow,analysis_V6_PAPER_CUTFLOW_Countflow,2JB_relative_error_std,ahmetcan_Selection,ahmetcan_Cutflow
evtweigt 0.4061,10077.777721881866 ±63.97,10080.0 ±100.40,0.0001559088455776,all Events,24816.0 ±157.53
Size(goodJets) >= 2,9309.842612594366 ±61.49,9530.0 ±97.62,0.0165261233614307,eventweight 0.4061895551,10080.000143051147 ±63.99
Size(goodEles) >= 0,9309.842612594366 ±61.49,9530.0 ±97.62,0.0165261233614307,Size(signaljet) >= 2,9311.895683407784 ±61.50
Size(goodMuos) >= 0,9309.842612594366 ±61.49,9530.0 ±97.62,0.0165261233614307,Size(signalele) >= 0,9311.895683407784 ±61.50
Size(goodLepts) == 1,1593.9425192773342 ±25.44,7130.0 ±84.44,0.8974345663116048,Size(signalmuo) >= 0,9311.895683407784 ±61.50
Pt(goodLepts) descend,1593.9425192773342 ±25.44,7130.0 ±84.44,0.8974345663116048,Size(signallep) == 1,1594.2940264940262 ±25.45
MTL > 50,992.5084120035172 ±20.08,4460.0 ±66.78,0.8993610391070191,Pt(signallep) descend,1594.2940264940262 ±25.45
MET > 250,312.2909037768841 ±11.26,2160.0 ±46.48,1.05693681079639,MTl > 50,992.7272868156433 ±20.08
Pt(goodLepts) < 25,140.10450169444084 ±7.54,1150.0 ±33.91,1.1070482340054073,MET > 240,332.26306080818176 ±11.62
MET > 400,58.07230070233345 ±4.86,492.0 ±22.18,1.11561050547825,Pt(signallep[0]) < 25,151.50870621204376 ±7.84
Size(bjet) > 0,8.122000098228455 ±1.82,89.0 ±9.43,1.1776813105476962,MET > 400,58.08510720729828 ±4.86
ratio > 0.25,8.122000098228455 ±1.82,89.0 ±9.43,1.1776813105476962,Size(signalbjet) > 0,8.123791217803955 ±1.82
MTL > 100,5.2793000638484955 ±1.46,58.0 ±7.62,1.1782419968659394,MET/meff > 0.25,8.123791217803955 ±1.82
,,,,Size(signaljet) / Pt(signallep[0]) > 0.1,8.123791217803955 ±1.82
,,,,MTl > 100,5.280464291572571 ±1.46
