Selection in region 4JHighxB,ibeuler_selection_Cutflow,ibeuler_selection_PAPER_CUTFLOW_Countflow,4JHighxB_relative_error_std,ahmetcan_Selection,ahmetcan_Cutflow
ALL,33354.0 ±182.63,33354.0 ±182.63,0.0,all Events,33354.0 ±182.63
ALL,33354.0 ±182.63,33354.0 ±182.63,0.0,ALL,33354.0 ±182.63
evtweigt 500/33354,500.00000781565905 ±2.74,500.0 ±22.36,1.1053010935595397e-08,eventweight 500/33354,500.00000781565905 ±2.74
Size(goodJets) >= 2,499.8501007556915 ±2.74,499.0 ±22.34,0.0012036080460651,Size(signaljet) >= 2,499.8501007556915 ±2.74
Size(goodEles) >= 0,499.8501007556915 ±2.74,499.0 ±22.34,0.0012036080460651,Size(signalele) >= 0,499.8501007556915 ±2.74
Size(goodMuos) >= 0,499.8501007556915 ±2.74,499.0 ±22.34,0.0012036080460651,Size(signalmuo) >= 0,499.8501007556915 ±2.74
Size(goodLepts) == 1,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082,Size(signallep) == 1,138.37920705601573 ±1.44
Pt(goodLepts) descend,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082,Pt(signallep) descend,138.37920705601573 ±1.44
MTL > 50,116.80758112668991 ±1.32,306.0 ±17.49,0.6328138297705583,MTl > 50,116.80758112668991 ±1.32
MET > 250,101.29220042005181 ±1.23,234.0 ±15.30,0.5597421286970963,MET > 240,102.43149407580495 ±1.24
Pt(goodLepts) > 25,95.2659366093576 ±1.20,215.0 ±14.66,0.5457561283573384,Pt(signallep[0]) > 25,96.40523026511073 ±1.20
Size(goodJets) >= 4 && Size(goodJets) < 6,43.47304739058018 ±0.81,35.5 ±5.96,0.1427777213336564,Size(signaljet) >= 4 && Size(signaljet) < 6,43.93775927647948 ±0.81
Size(bjet) > 0,6.341068636626005 ±0.31,9.199999809265137 ±3.03,0.2601583830812115,Size(signalbjet) > 0,6.401031460613012 ±0.31
MET > 300,5.921328868716955 ±0.30,8.199999809265137 ±2.86,0.2282028427915033,MET > 300,5.921328868716955 ±0.30
ratio > 0.2,4.722072388976812 ±0.27,4.800000190734863 ±2.19,0.0115737990032727,MET/meff > 0.2,4.122444149106741 ±0.25
AnaAplanarity > 0.01,3.1180668473243713 ±0.22,4.5 ±2.12,0.2565412782500448,AnaAplanarity > 0.01,2.668345667421818 ±0.20
Meff > 1000,3.1180668473243713 ±0.22,4.5 ±2.12,0.2565412782500448,meff > 1000,2.668345667421818 ±0.20
MTL > 520,0.47970259189605713 ±0.08,2.5999999046325684 ±1.61,0.9736502858036148,MTl > 520,0.35977694392204285 ±0.07
,,,,,
