selection,ibrahim_value,ibrahim_err,ahmetcan_value,ahmetcan_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,33354.0,182.63,33354.0,182.63,0.0,0.0,0.0,False,False
ALL,33354.0,182.63,33354.0,182.63,0.0,0.0,0.0,True,True
evtweigt 500/33354,500.00000781565905,2.74,500.00000781565905,2.74,0.0,0.0,0.0,False,False
Size(goodJets) >= 2,499.8501007556915,2.74,499.8501007556915,2.74,0.0,0.0,0.0,False,False
Size(goodEles) >= 0,499.8501007556915,2.74,499.8501007556915,2.74,0.0,0.0,0.0,False,False
Size(goodMuos) >= 0,499.8501007556915,2.74,499.8501007556915,2.74,0.0,0.0,0.0,False,False
Size(goodLepts) == 1,138.37920705601573,1.44,138.37920705601573,1.44,0.0,0.0,0.0,False,False
Pt(goodLepts) descend,138.37920705601573,1.44,138.37920705601573,1.44,0.0,0.0,0.0,False,False
MTL > 50,116.80758112668991,1.32,116.80758112668991,1.32,0.0,0.0,0.0,False,True
MET > 250,101.29220042005181,1.23,102.43149407580495,1.24,-1.1392936557531357,-0.6523041842136337,1.1184694628403238,False,False
Pt(goodLepts) > 25,95.2659366093576,1.2,96.40523026511073,1.2,-1.1392936557531357,-0.671335224788212,1.188800250273737,False,False
Size(goodJets) >= 4 && Size(goodJets) < 6,43.47304739058018,0.81,43.93775927647948,0.81,-0.46471188589930534,-0.40568015533010854,1.0632824558394787,False,False
Size(bjet) > 0,6.341068636626005,0.31,6.401031460613012,0.31,-0.05996282398700714,-0.13677457890421973,0.9411764705882353,False,False
MET > 300,5.921328868716955,0.3,5.921328868716955,0.3,0.0,0.0,0.0,True,True
ratio > 0.2,4.722072388976812,0.27,4.122444149106741,0.25,0.5996282398700714,1.6295689683236745,13.559322033898304,False,False
AnaAplanarity > 0.01,3.1180668473243713,0.22,2.668345667421818,0.2,0.44972117990255356,1.5125760130218449,15.544041450777202,True,True
Meff > 1000,3.1180668473243713,0.22,2.668345667421818,0.2,0.44972117990255356,1.5125760130218449,15.544041450777202,False,True
MTL > 520,0.47970259189605713,0.08,0.35977694392204285,0.07,0.11992564797401428,1.128165597035803,28.571428571428573,False,True
,,,,,,,,True,True
