selection,ibrahim_value,ibrahim_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,33354.0,182.63,33354.0,182.63,0.0,0.0,0.0,True,True
ALL,33354.0,182.63,33354.0,182.63,0.0,0.0,0.0,True,True
evtweigt 500/33354,500.00000781565905,2.74,500.0,22.36,7.815659046173096e-06,3.4694236752377295e-07,1.563131797017714e-06,True,True
Size(goodJets) >= 2,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,True,True
Size(goodEles) >= 0,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,True,True
Size(goodMuos) >= 0,499.8501007556915,2.74,499.0,22.34,0.8501007556915283,0.03776982831546059,0.1702158822526773,True,True
Size(goodLepts) == 1,138.37920705601573,1.44,388.0,19.7,-249.62079294398427,-12.637389859252712,94.8444731850589,True,True
Pt(goodLepts) descend,138.37920705601573,1.44,388.0,19.7,-249.62079294398427,-12.637389859252712,94.8444731850589,True,True
MTL > 50,116.80758112668991,1.32,306.0,17.49,-189.1924188733101,-10.786500398429913,89.49339005187825,True,True
MET > 250,101.29220042005181,1.23,234.0,15.3,-132.7077995799482,-8.645818859994817,79.159490983502,True,True
Pt(goodLepts) > 25,95.2659366093576,1.2,215.0,14.66,-119.7340633906424,-8.140173301853816,77.18157184711797,True,True
Size(goodJets) >= 4 && Size(goodJets) < 6,43.47304739058018,0.81,35.5,5.96,7.973047390580177,1.3255736696025933,20.191818991478335,True,True
Size(bjet) > 0,6.341068636626005,0.31,9.199999809265137,3.03,-2.8589311726391315,-0.9386418675700727,36.791951371850445,True,True
MET > 300,5.921328868716955,0.3,8.199999809265137,2.86,-2.2786709405481815,-0.7923906863526728,32.27275552478393,True,True
ratio > 0.2,4.722072388976812,0.27,4.800000190734863,2.19,-0.07792780175805092,-0.03531608376661858,1.6367823518608495,True,True
AnaAplanarity > 0.01,3.1180668473243713,0.22,4.5,2.12,-1.3819331526756287,-0.6483734565320635,36.28041550097433,True,True
Meff > 1000,3.1180668473243713,0.22,4.5,2.12,-1.3819331526756287,-0.6483734565320635,36.28041550097433,True,True
MTL > 520,0.47970259189605713,0.08,2.5999999046325684,1.61,-2.1202973127365112,-1.315332049624268,137.69494391919122,True,True
,,,,,,,,True,True
