selection,ahmetcan_value,ahmetcan_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,30469.0,174.55,30469.0,174.55,0.0,0.0,0.0,False,False
evtweigt 386/30469,386.00000836793333,2.21,386.0,19.65,8.367933332920074e-06,4.231810067880664e-07,2.167858352906115e-06,False,False
Size(goodJets) >= 2,385.83531638234854,2.21,385.0,19.62,0.8353163823485374,0.04230719239990879,0.21673017948082832,False,False
Size(goodEles) >= 0,385.83531638234854,2.21,385.0,19.62,0.8353163823485374,0.04230719239990879,0.21673017948082832,False,False
Size(goodMuos) >= 0,385.83531638234854,2.21,385.0,19.62,0.8353163823485374,0.04230719239990879,0.21673017948082832,False,False
Size(goodLepts) == 1,104.37671301793307,1.15,295.0,17.18,-190.62328698206693,-11.070876048042724,95.46039153940728,False,False
Pt(goodLepts) descend,104.37671301793307,1.15,295.0,17.18,-190.62328698206693,-11.070876048042724,95.46039153940728,False,False
MTL > 50,93.03830324113369,1.09,253.0,15.91,-159.9616967588663,-10.030647978996358,92.45317368661263,False,True
MET > 250,73.94670152757317,0.97,202.3000030517578,14.22,-128.35330152418464,-9.00532475165096,92.9265756995301,False,False
Pt(goodLepts) > 25,69.8800763450563,0.94,190.8000030517578,13.81,-120.91992670670152,-8.735755350795884,92.7726637083258,False,False
Size(goodJets) >= 6,27.326200992800295,0.59,62.099998474121094,7.88,-34.7737974813208,-4.4006008595692725,77.7709389163599,False,False
Size(bjet) > 0,6.4736618949100375,0.29,18.200000762939453,4.27,-11.726338868029416,-2.7399035027220786,95.05146463773093,False,False
AnaAplanarity > 0.01,6.182283766567707,0.28,17.700000762939453,4.21,-11.517716996371746,-2.729769053395601,96.45406394971401,True,True
Meff > 700,6.182283766567707,0.28,17.700000762939453,4.21,-11.517716996371746,-2.729769053395601,96.45406394971401,False,True
MET > 300,5.485509981401265,0.26,16.100000381469727,4.01,-10.614490400068462,-2.6414586252350656,98.34829217961263,True,True
MTL > 250,3.813252897001803,0.22,12.0,3.46,-8.186747102998197,-2.361343354950912,103.54285935122692,False,False
,,,,,,,,True,True
