selection,ibrahim_value,ibrahim_err,paper_value,paper_err,delta,pull,symmetric_percent_diff,label_match_raw,label_match_norm
ALL,30469.0,174.55,30469.0,174.55,0.0,0.0,0.0,True,True
evtweigt 386/30469,386.00000836793333,2.21,386.0,19.65,8.367933332920074e-06,4.231810067880664e-07,2.167858352906115e-06,True,True
Size(goodJets) >= 2,385.83531638234854,2.21,385.0,19.62,0.8353163823485374,0.04230719239990879,0.21673017948082832,True,True
Size(goodEles) >= 0,385.83531638234854,2.21,385.0,19.62,0.8353163823485374,0.04230719239990879,0.21673017948082832,True,True
Size(goodMuos) >= 0,385.83531638234854,2.21,385.0,19.62,0.8353163823485374,0.04230719239990879,0.21673017948082832,True,True
Size(goodLepts) == 1,104.37671301793307,1.15,295.0,17.18,-190.62328698206693,-11.070876048042724,95.46039153940728,True,True
Pt(goodLepts) descend,104.37671301793307,1.15,295.0,17.18,-190.62328698206693,-11.070876048042724,95.46039153940728,True,True
MTL > 50,93.03830324113369,1.09,253.0,15.91,-159.9616967588663,-10.030647978996358,92.45317368661263,True,True
MET > 250,72.47714227158576,0.96,202.3000030517578,14.22,-129.82286078017205,-9.108862382544807,94.49320148326252,True,True
Pt(goodLepts) > 25,68.51186600327492,0.93,190.8000030517578,13.81,-122.2881370484829,-8.835031678696174,94.31742364444581,True,True
Size(goodJets) >= 6,26.806787807494402,0.58,62.099998474121094,7.88,-35.29321066662669,-4.466750743927782,79.39373841460011,True,True
Size(bjet) == 0,20.42180621251464,0.51,43.900001525878906,6.63,-23.478195313364267,-3.530775256209963,73.0022869035448,True,True
AnaAplanarity > 0.01,19.05359587073326,0.49,42.5,6.52,-23.44640412926674,-3.5859617028193758,76.1820777408546,True,True
Meff > 700,19.05359587073326,0.49,42.5,6.52,-23.44640412926674,-3.5859617028193758,76.1820777408546,True,True
MET > 300,16.887262829579413,0.46,38.400001525878906,6.2,-21.512738696299493,-3.4602857470537947,77.82167899640567,True,True
MTL > 250,10.818996591493487,0.37,27.5,5.24,-16.681003408506513,-3.175491148287865,87.06388419476288,True,True
,,,,,,,,True,True
