Selection in region 4JHighxBveto,analysis_V5_Cutflow,analysis_V5_PAPER_CUTFLOW_Countflow,4JHighxBveto_relative_error_std
evtweigt 500/33354,500.00000781565905 ±2.74,500.0 ±22.36,1.1053010935595395e-08
Size(goodJets) >= 2,499.8501007556915 ±2.74,499.0 ±22.34,0.0012036080460651904
Size(goodLepts) == 1,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082
Pt(goodLepts) descend,138.37920705601573 ±1.44,388.0 ±19.70,0.6706517014722082
MTL > 50,116.80758112668991 ±1.32,306.0 ±17.49,0.6328138297705583
MET > 250,101.29220042005181 ±1.23,234.0 ±15.30,0.5597421286970963
Pt(goodLepts) > 25,95.2659366093576 ±1.20,215.0 ±14.66,0.5457561283573384
Size(goodJets) [] 4 6,62.04653212055564 ±0.96,35.5 ±5.96,0.3848672519948209
Size(bjet) == 0,0.14990705996751785 ±0.05,26.399999618530273 ±5.14,1.39824359307198
MET > 300,0.14990705996751785 ±0.05,23.600000381469727 ±4.86,1.3963608109192802
ratio > 0.2,0.1049349419772625 ±0.04,13.800000190734863 ±3.71,1.3928685626741093
fAplanarity(goodJets) > 0.01,0.044972117990255356 ±0.03,12.5 ±3.54,1.4040740134618215
Meff > 1000,0.044972117990255356 ±0.03,12.5 ±3.54,1.4040740134618215
MTL > 520,0.014990705996751785 ±0.01,6.900000095367432 ±2.63,1.4080819389655927
