Selection in region 6JBveto,ibeuler_selection_Cutflow,ibeuler_selection_PAPER_CUTFLOW_Countflow,6JBveto_relative_error_std
ALL,30469.0 ±174.55,30469.0 ±174.55,0.0
evtweigt 386/30469,386.00000836793333 ±2.21,386.0 ±19.65,1.5329073419918133e-08
Size(goodJets) >= 2,385.83531638234854 ±2.21,385.0 ±19.62,0.0015325137959867124
Size(goodEles) >= 0,385.83531638234854 ±2.21,385.0 ±19.62,0.0015325137959867124
Size(goodMuos) >= 0,385.83531638234854 ±2.21,385.0 ±19.62,0.0015325137959867124
Size(goodLepts) == 1,104.37671301793307 ±1.15,295.0 ±17.18,0.6750069019223781
Pt(goodLepts) descend,104.37671301793307 ±1.15,295.0 ±17.18,0.6750069019223781
MTL > 50,93.03830324113369 ±1.09,253.0 ±15.91,0.6537426605602147
MET > 250,72.47714227158576 ±0.96,202.3000030517578 ±14.22,0.6681678354484166
Pt(goodLepts) > 25,68.51186600327492 ±0.93,190.8000030517578 ±13.81,0.6669248984303205
Size(goodJets) >= 6,26.806787807494402 ±0.58,62.099998474121094 ±7.88,0.5613985081671463
Size(bjet) == 0,20.42180621251464 ±0.51,43.900001525878906 ±6.63,0.5162041211162242
AnaAplanarity > 0.01,19.05359587073326 ±0.49,42.5 ±6.52,0.5386886377543902
Meff > 700,19.05359587073326 ±0.49,42.5 ±6.52,0.5386886377543902
MET > 300,16.887262829579413 ±0.46,38.400001525878906 ±6.20,0.5502823694168116
MTL > 250,10.818996591493487 ±0.37,27.5 ±5.24,0.6156346291055712
